user_id,sex,plan,age,age_bin,ethnicity,department,nationality,country_of_work
1460,Female,Dependent account,22.0,21-30,Indian,Business,Singapore,
1461,Male,Dependent account,59.0,51-60,Chinese,HR,,Singapore
1462,Male,Main account,36.0,31-40,Chinese,Business,Singapoore,
1463,male,Main account,34.0,,®alay,Product,,Singapore
1464,Male,Dependent Account,,,mALAY,HR,Si…gapore,Singapore
1465,"Mla""",MAIN ACCOUNT,32.0,3-40,Chinese,HR,Singapore,Singapore
1466,Female,Main account,, 51-60,Chinese,Product, Singapore,Singapore
1467,Male,Dependent account,41.0,41-50,ñhinese ,,™ingapore,sINGAPORE
1468,Female,Dependent account,1.0,"""-10",Indian,,Singapore,Si–gapore
1469,Female,Main acc®unt,,31-40,C®inese,HR,SINGAPORE,
1470,Male,Dependent account ,51.0,51-60, Chines—,Business,China,Hong Kong
1471,Mal',Main account,27.0,21-30,Malay,Product,China,Singapore
1472,male,Dependent account,70.0,60+,Chinese ,Busines,Singapore ,Singapore
1473,M®ale,Main account,57.0,51-60,Indian,Product,Singapore,Singapore
1474,Female,Dependent account,35.0,31-40,Indian,Business,Singapore,Singapore
1475,ffEMALE,Main account,26.0, 21-30,Chine™e,Product,Singapore,Singapore
1476,Male,,2.0,,Chinese,,Sing—pore,Singapo®e
1477,Male,,15.0,11-20,Chinese,Business,Singapore,Singapore
1478,Female,DEPENDENT ACCOUNT,43.0,41-50,,,Singapore,Singapore
1479,Male,Dependent account,58.0,,CHINESE,HR,Singapore,
1480,Female,,24.0,21-30,"""hinese",HR,Singapore,
1481,Female,,36.0,,Chinese,Business,Singapore,Singapore
1482,Female,Depende–t account,5.0,,Malay,,Singa™ore,Singaéore
1483,Mael,Main account,48.0,ñ1-50,Chinese,HR,Singapore,Singapore
1484,Mal–,Dependent account,45.0,41-50,,Product,,Singapore
1485,Male,Main account,27.0,21-30,Chinese,Product,Singapore,Singapore
1486,Male,Dependent account,18.0,1é-20,Indian,Business,,singaporñ
1487,female,Dependent account,48.0,41-50,"""hinese",Business,,Singapore
1488,Male,Dependent account,48.0,41-50,cHINESE,Product,Singapore,
1489,Female,Dependent account,10.0,0-10,Chinese,Business,Singapore,Singapore
1490,,Dependent account,,60+,,"Prod""ct ",Singapor',Singapore
1491,Male,Main account,46.0,41-50,Chinese,Product,Singapore,Singapore
1492,Male,Main account,41.0,41-ü0,Indian,Business,"C""ina",SINGAPORE
1493,Felale, Main ac…ount,54.0,51-60,,HR,Singapore,Singapore
1494, Female,Main account,52.0,,Chinese,HR,Singapore,Hogg Kong
1495,,,,, ühinese,,singapore,Singapore
1496,Male,Dependent account,31.0,31-40,Indian,Business,China,SINGAPORE
1497,,Dependent account,32.0, 31-40,Malay,Product,China ,Singapore
1498,"M""le",Dependent account,49.0,41-50,Others,, Singapore,Hong Kong
1499,üemale,Main account,50.0,41-50,Chinese,Product,China,Singapore
1500,Female,Dependent account,,11-20,Chinese,Product,Singapore,Singapore
1501,Female,Dependent account,10.0,0-10,Indian,Product,Singapore,Signapore
1502,Female,,30.0,21-30,CHINESE,Business,Singapore,cHINA
1503,FEMALE,,51.0,51-60,Chinese,Business,Singapore ,Singapore
1504,Male,,7.0,0-10,Chinese,Business,Singapore,singapore
1505,Female,Main account,43.0,41-50,Chinese,Product,Singapore,Siégapore
1506,Male,"Main acco""nt",42.0,41-ü0,Chinees,,India,Singapore
1507,Female,Dependent account,26.0,,,Business,,
1508,Female,Dependent account,26.0,21-30,Chinese,pRODUCT,Singépore,Singapore
1509,Male,Dependent account,32.0,31-40,Chinese,HR,Singapore,Singaüore
1510,female,Dependent account,18.0,11-ü0,Chinese,Produ't,Singapore,Singapore
1511,Maüe,Main account,44.0,41-50,Chinese,"Business""",cHI®A,Singapore
1512,Male,Main account,58.0,51-60, Chinese,HR,Singapore,Singapore
1513,,Dependent account,50.0,41-50,Chinese,Business,Singapore,Singapore
1514,Female,Main account,57.0,51-60 ,Chinese,HR,Singapore,Singapore
1515,Feüale,Main account,,51-60,Cinese,Business,Singapore,Singapore
1516,Male,Mainaccount,44.0,41-50,Indian,Product,,Singapore
1517,Female,Dependent account,66.0,—0+,CHINESE,Product,Singapore,
1518, Female,Main account,33.0,3-40,"Chin""se",,Singapore,Singapore
1519,Male,Mainüaccount,57.0,51-60,Chinese,Business,Singapore,Singapore
1520,,Dependent account,36.0,3m-4ü,Chinese,HR,Singñpore,Singapore 
1521,Female,Dependent account,65.0,60+,Chinese,üusiness,Singapor–,China
1522,Female,…ain account,25.0,21-30,Chinese,Business,Singapore,Singapore
1523,Male,Main account,26.0,,Chinese,,Malaysia,
1524,Fema®e,Main account,49.0,41-50,,Product,Malaysia,Singapore
1525,,Dependent account,,,Chinese,Business,Malaysia ,Singaore
1526,Female,Dependent account,,,Chinese,,Singapore,Hong Kong
1527,Male,Main account,,41-50,,Business,Singapore,Singapore
1528,,,30.0,21-30,Chinese,H',SINGAPORE,Singapore
1529,,Dependent account,4.0,0-10,Indian,Business,Singapore,Singapore
1530,Male,Dependent account,,60+,Chinese,Business, Singapore,Singapore
1531,,,41.0,41-50,Chinese,Product,sINGPORE,Singapore
1532,Female,,,41-50,Chinese,Product ,Singapore,SINGAPORE
1533,Male ,Main accont,21.0,21-30,Chinese,Business,singapore,Singapore
1534,Male,Main account,36.0,31-40,Chinese ,Product,Singapore,
1535,Male,Main account,36.0,31-40,Chinese,HR,Singapore,Singapore
1536,,Main account,32.0,31-40,Chinese,Product,Singapore,Singapore
1537,Female,Dependent añcount,83.0,60+,Chinese,Product,Singapore,Singapore
1538,Female,Dependent account,16.0,11-20,Chinese, Business,Singapore, üingapore
1539,Male,Mainaccount,53.0,51-60,Chinese,HR,Singa'ore,Singapore
1540,Male,Main account,34.0,31-40,CHINESE,,Singapore,China
1541,Male,Dependent account,36.0,31-40,ñhinese,Product,Malaysia,Singapore
1542,Male,Main account,30.0,21-30,Chinese,Product,Singapore,Singapore
1543,FEMALE,Main account ,21.0,21-30,Chinese,Product,Singapore,China
1544,Female,Dependent account,49.0,'1-50,Malay,Product,Singapore,Singapore
1545,Female,Mainaccount,22.0,21-30,Chinese,,Singapore,"Singapor"""
1546,,Main account,47.0,41-50,Chinese,product, Malaysia,
1547,Female,Dependent account,12.0,11-20,Chinese,Business,Singapore,Singapore
1548,M'le,Dependent account,14.0,11-20,Chinese,Product,Singapore,Singapore
1549,Male,,48.0,41-50,Malay,Business,,
1550,Female,Main account,42.0,41-50,Indian,Business,Singapore,Singapore
1551,f'male,Main®account,56.0,51-60,Chinese,Product,Singapore, Singapore
1552,Male,Main account,32.0,,cHINESE,Product,Singapore,Singapore
1553,Female,Dependent account,81.0,60+,®hinese,HR ,Siügapore,
1554,fEMALñ,Dependent account,76.0,60+,'ndian,HR,Singapore,Singapore
1555,mALE,Dependent account,56.0,5ñ-60,Malay,pRODUCT,China,Hong Kong
1556,Female,Main account,45.0,41-50 ,Chinese,"""R",Chinü,Séngapore
1557,FEMALE,Dependent account,12.0,,Chinese,Business,Singapore,Singapore
1558,Male,,20.0,11-20,Indian,Business,Singapore,singapore
1559,Male,Mnin account,41.0,41-50,cHINE–E,Producv,Singapore,Singapore
1560,Male,™ain account,,41-50,Chinese,Product,Malaysia,Singapore
1561,Female,Dependent account,,11-20,,Business,Singapore,Hong Kong
1562,Female,Dependent account,25.0,21-30,Malay,Product,Singapore,
1563,Female,Main account,,21-30,Chinese,,Singapore,Singapore
1564,…emale,Main ac–ount,30.0,21-30,Chinese,HR,Singapore,Singapo…e
1565,Male,Dependent account,63.0,60+,Chinese,hr,Singapore,Singapore
1566,M…le, Dependent account,24.0,,,HR,Singapore,Singapore
1567,Female,Dependent account,39.0,31-40,Malay,HR,mALAYSIA,Singapore
1568,Male,Dependent account,62.0,60+,Indian,Product,,Singapore
1569,Male,Dependent account,35.0, 31-40,Chinese ,Business,Singapore,cHINA
1570,female,Depend'nt account,30.0,21-30,Chi—ese,Product,India,Singapo'e
1571,Male,Main account,28.0,21-30,Chinese,Business,,Singapore
1572,Female,Dependentaccount,24.0,,Chinese,HR,Singapore,Singapore
1573,Male,Dependent account,62.0,60+,,Business,Singapore,Singapore
1574,Male,Dependent account,50.0,41-50,alay,Business,Singapore,Singapore
1575,fEMALE,DEPENDENT ACCOUNT,3.0,0-10,Chinese,roduct,Si'gapore,
1576,female,Mai– account,30.0,21é30 ,cHINESE,B®siness,Singapore,Singapore
1577,Female,Main —ccount,37.0,31-40,Malay,HR,Singapore,Singapore
1578,Male,Main account,35.0,31-40,,,Singapore,Singapore
1579,Male,Dependent account,,51-60,Oñhers,pRODUCT,Indié,
1580,Male,Dependenta ccount,34.0,31-40,Malay,"P""oduct",Singapore,Singapore
1581,Male,Dependent account,69.0,60+,Cñinese,Product,Singapore,Singapore
1582,Male,Dependent account,48.0,41-50,Chinfse,Business,Singapore,
1583,Femaüe,,54.0,5-60,Malya,Product,Mal–ysia,Singapore
1584,Female,Main account,25.0,21-30,Chinese,HR,Singapore,Singapore
1585,,,53.0,,Indian,HR,Singapore,Singapore
1586,Female,Main account,52.0,51-60,Chinese,Businesñ,Singapore,Singapore
1587,Female,,60.0,51-60,Indian,Product,Singapore,Singapoye
1588,Male,Dependent account,8.0,0-10,Chinese,Business,SINGAPORE,Singapore
1589,,Dependent account,35.0,31-40,Chinese,Product,Singapore,Hong Kong
1590,Male,Dependent account,14.0,,C™inese,bUSINESS,Singapore,Singapore
1591,Female,Dependent account,22.0,21-30,cHINESE,Product,Singapore,Singapore
1592,Female,,52.0, 51-60,Malaay,,Singapore,Singapore
1593,Male,,54.0,51-60,Malay,Business,India,Sinagpore
1594,Female," Dependent acc""unt",44.0,41-50,Chinese,,Singapore,Singapore
1595,Female,Maina ccount,21.0,21-30,Chinese,Business,,
1596,Female,Dependent account,29.0,21-30,Chinfse,Business,,Singapore
1597,Female,De–endent account,14.0,11-20,,Business,Singapore,Singapore
1598,Male,Dependent account,3.0,0-10,Mal—y,Business,Singapore ,–ingapore
1599,Female,Main account,52.0,51-60,mala…,Product,Singapore,Singapore
1600,Female,Dependent account,,,malay,business,,Singapore
1601,Female,Dependent account,,60+,,Business,,Singapore
1602,Male,Main account,30.0, 21-30,Chinese,Business,Singapore,
1603,Female,Main account,21.0,21-30, Chinese,Business,Singapore,SINGAPORE
1604,Male,Main account,39.0,31-é0, Chinese,business,Singapore,China
1605,,Dependent account,53.0,51-60,khinese,HR,Singapore,Singapore
1606,Female,Dependent account,13.0,l1-20,Chinese,Business,,singapore
1607,Female,Main account,57.0,51-60,Chinese,Business,,Singapore
1608,Fe…ale,Dependent account,31.0,31-40,Indian,Product,China,Singapore
1609,Male ,Main account,34.0,31-40,,Product,Singapore,Singapore 
1610, Male,Main accoukt,45.0,,Chinese,,Singapore,Singapore
1611,FEMALE,Dependent account,63.0,60ñ,Chinese,Product,,Singapore
1612,Ma…e,Main account,38.0,31-40,Chinese,Product,Singapore,Singapore
1613,,,35.0,31-40,chinese,Business,Singapore,Singapore
1614,Male,Main accoun™,55.0,51-60,Chinese,HR,India,"Singap""re"
1615,ale,Main account,34.0,31-40,Chinese,HR,Singapore,Singapore
1616,fEMALE,Dependent Account,,11-20,Malay,HR,Singapore,Singapore
1617,Female,D'pendent account,62.0,60+, Chinese,HR,Singapore,
1618,Female,Main account,20.0,11-20,Malay,,aMlaysia,Singapore
1619,Male,Dependent account,71.0,6é+,Indian,Business,Si…gpaore,Singapore
1620,Female,Dependent account,11.0,11-20,Chinese,Product,Singapore,Singapore
1621,female,Dependent account,46.0,41-50,Others,éR,Singapore,Singapore
1622,Female,Main account,27.0,21-30,,Product,Singapore, Singapore
1623,Male,,24.0,21-30,Indian,Business,Singapoüe,sINGAPORE
1624,FEMALE,,33.0,31-40,Chinese,Business, Singapore,
1625,Female,,41.0,41-50,Chinese,Business,Singapore,Singapore
1626,,Dependentaccount,39.0,31-40,Chinese,Product,Singapore,Singapore
1627,Female,Dependent account,24.0,21-30,Chinese,Product ,Singapore,
1628,Female,,20.0,11-é0,Maléy,product,Singapore,Singapore
1629,Female,Main account,61.0,60+,Chinese,Business,SINGAPORE,Singapore
1630,Male,Dependent account,5.0,0-10,Chinese,Business,Malaysia,Singapore
1631,Male,Dependent account,71.0,60+,Chinese,HR,Singñpore,Singapore
1632,Female,"D""pendent account",,5…-60,Malay,,Malaysia,
1633,Male,Dependen— account,8.0,0-10,Chinese,Product,Singapore,Singapore
1634,,Main account,30.0,21-30,Chinese,–R,Singapore,Sin…apore
1635,Male,Dependent account,29.0,21-30,Chinese,Product,Singapore,Singapore
1636,female,Main account,42.0,,Chinese,Prodüct,China,Siingapore
1637,fEMALE,Main account,40.0,31-40,,Product,Singapore,"Sing""pore"
1638,Fe–ale,MAIN ACCOUNT,57.0,51-60,Chinese,Business,,Singapore
1639,,Dependent account,51.0,51-60,Chinese,"Pro""ct",Malaysia,sINGAPORE
1640,Male,Depend'nt account,15.0,11-20,,Product,Singap…re,
1641,Female,Main –ccount,31.0,,Chinese,BUSINESS,Singapore,Singapore
1642,Female,Main account,,,Indian,pRODUCT,Singapore,Singapore
1643,Male,Main account,58.0,51-60,,–R,Singapore,Singapore
1644,Mgle,Main account,33.0,31-40,Chinese,Product,Singapore,Singapore
1645,,Maiü account,35.0,31-40,Others,HR,Singapore,
1646,Femal…,Main account,37.0,31-40,Chinese,HR,Singapore,"Singap""re"
1647, Femael,,59.0,,Indian,Business,Sinüapore,Singapore
1648,,Main account,,51-60,Chine…e,Business,Singapore ,SINGAPORE
1649,Female,Main account,31.0,31-40,Chinese,Product,singapore,Singapore
1650,Female,Main account,62.0,60+,Malay,Product ,Malaysia,Singapore
1651,Male,Dependent account,22.0,21-30,,Business,Malaysia,Singapore
1652,Female,Main account,59.0,51-60,Indian,HR,Singapore,Singapore
1653,Mae,dEPENDENT ACCOUNT,55.0,51–60,Chin–se,HR,Singapore,Singapore
1654,Female,Dependent account,,21-30,Chinese,Product,Singapor®,
1655,,Main account,53.0,,Indian,Produñt,India,Singapore
1656,Feüale,Dependent account,41.0,,Cginese,Business,Singapore,Singapore
1657,MALE,Dependent account,56.0,51-60,Chinese,Product ,Singapore,Chna
1658,Femle,,9.0,0-10,Chinese,Product,Singapore,'ingapore
1659,Female,Dependent account,70.0,60+,Chinese,,Singapore,hong kong
1660,Male,Dependent account,5.0,,Chinese,Product,MALAYSIA,Singapore
1661,Male,Dependent account,55.0,51-60,Chinese,Busines… ,Singapore,China
1662,male,dEPENDENT ACCOUNT,8.0,,Chines–,Business,Singapore,China
1663,Mal™,Dependent account,41.0,41-50,Chinhse,Product,Singapoüe,Singapore
1664,Feoale,Main ccount,30.0,21-30,Cwinese,Product,Singapore,Singapore
1665,Male,"Dependent acc""unt",51.0,51…60," Chi""ese",Product,malaysia,Singapore
1666,female,Main account,33.0,31--40,cHINESE,Business,Singapore,Singapore
1667,Fema—e,"Depend""ntaccount",38.0,31-40,Chinese,Business,Singapore,
1668,Female,Dependentaccount,,31-40, Chinese,Business, India,Hong Kong
1669,Female,Main account ,19.0,1®-20,Chinese,Product,Si—gapore,Singapore
1670,,Dependent®account,51.0,,Chinese,Product,Singapore,
1671,Male,Dependent account,38.0,31-40,Malay,Business,Malaysia,Singapore
1672,Female,Dependentaccount,7.0,0-10,Chinese,HR, Singapooe,Singapore
1673, Female,"Dependent ac""ount",14.0,11-20,Chinese ,HR,Singapore,Singapore
1674,Female,Main account,26.0,21-30,Chinese,Product,Singapore,Singapore
1675,,Main account,,31…40,Chinese,Business,"Singap""re",Singapor'
1676,Male,Dependent account,11.0,11-20,Chinese ,,Singapore,—ingapore
1677,Femal–,Dependent account,82.0,,Chinese,business,Singapore,Singapore
1678,Male,Dependent account,,11-20,Malay,,Singapore,Singapore
1679,Male,Dependent account,,21-30,Chinese,pr™duct,,Singapore
1680,,Main account,53.0,51-60,,rPoduct,Singapore,Singapore
1681,,,31.0,31-40,"Ch""nese",Business,Singapore,Singapore
1682,Female,Dependent account,44.0,41-50,,Business,Singapore,Singapore
1683,Male,Dependent account,68.0,,Chinese,HR,Singaüore,
1684,Male,Dependent account,44.0,41-50,Chinese,Business,India,Singap™re
1685,,,40.0,31-40, Malay,Business,Sinüapore,Singapore
1686,Male,Depend—nt account,66.0,,Chinese,Product,Malaysia,Singapore
1687,Male,"Dep""nddent account",56.0,51-60,Chinese,Business,, China
1688,Female,Dependent account,67.0,60+,,HR,Singapore,Singapore
1689,Male,Dependent account,53.0,51-60,Chinnese,–r,Singapore,Singapore
1690, Male,dependent account,71.0,60+,Chinese,,Singapore,Singapore
1691,Female,Dependent account,51.0,,Chinese,Business,Singapore,Singapore
1692,Male,Dependent account,34.0,31-40,,Product,Singapore,Singapore
1693,Female,Dependent account,,21-30,Chinese, Product,,Singapore
1694,Male,Dependent account,6.0,0-1ü,Chinese,Product,Singapore,Singapore
1695,female,Main account,30.0,21-30,Chinese,Business,sINGAPORE,China
1696,Female,,23.0,21-30,Malay,Business,Singapore,China
1697,Male,Main account,28.0,21-30,,Business,Singapore,Singapore
1698,,,54.0,5ñ-60,Chinese,HR,India,Singapore
1699,Male,,36.0,31-40,C'inees,Product,Singapore ,Singapore
1700,fEMAEL,Main account,42.0, 41-50,,Product,Singapore,Singapore
1701,Female,Dependent account,27.0,"21-3""",othürs,Business,Singapore,China
1702,Male,Main account,54.0,51-60,Indian,Prod®ct,S–ngapore,Singapore
1703,Male,Deendent account,64.0,60+,,Hr,,Singapore
1704,MALE,Main account,47.0,,Chinese,HR,Singapore,Singapore
1705,Male,Main account,40.0,31-40,"Chines""",Product,Singapore,Singapore
1706,emale,Dependent account,16.0,,CHINESE,,Singapore,Singapore
1707,Female,Main account,35.0,31-40,Chniese, Business,Singapore,
1708,Female,Man account,33.0,311-—0,Chinese,Business,Malaysia,Singapore
1709, Female,Dependent account,20.0,11-20,Chinse,Businsss,Singapore,Hong Kong
1710,Male,Main account,49.0,41-50,Chinese,Business,Singapore,Singapore
1711,Female,Dependent account,11.0,11-20,"Chine""e",Product,,Singapore
1712,Female,Main account,36.0,31-40,Chinese,Business,Singapore,Singapore
1713,Male,Dependent'account,,31-40,Indian,HR,Singapore,sINGAPORE
1714,,Dependent account,37.0,31-40,Chinese,Product,Singapo™e, Singapore
1715,Male,Dependent account,35.0,31-40,Chinese,Business,Singapore, Singapore
1716,Male,mAIN ACCOUNT,53.0,, Chinesé,HR,Singapore,Singapore
1717,Male,Dependent account,26.0,21-30,Malay,Businessñ,Singapore,yingapore
1718,Female,Main account,35.0,31-40,Malay ,Product,Singapore,Singapore
1719,Male,Main account,56.0,,Chinese,Business,Singapore, Singapore
1720,Female,Dependent account,39.0,j1-40,Chinese,Business,Malaysia,"Singa""ore"
1721,Female,Dñpendent account,50.0,41-50,Malay,Product,Singapore,Singapore
1722,Female,Main account,49.0,41-50,Chinese,Business,Singapore,Singapore
1723,Male,main account,26.0,21-30,Chinese,hr,sINGAPORE,®ingapore
1724, Female,Dependent account,24.0,21-30,Malay,Product,Malaysia,
1725,fEMALE,Main account,59.0,51-60,Chinese,Product,Singapore,Singapore
1726,male,Dependent account,58.0,51-60,Chinese,Product,Singapore,Singapore
1727,Female,Main account ,33.0,31i40,Chi®ese,Product,China,Singapore
1728,Female,Dependent account,39.0,31-40, Chinese,Product,Singapore,
1729,Female,Dependent account,60.0,51-60,Chinese,,Singapore,Singapore
1730,,Dependent account,41.0,41-50,Chinese,Product,Singapore,Singapore 
1731,Female,Dependent account,2.0,,Malay ,HR,Singapore,Singapore
1732,Female,Dependent account,50.0,,Chineve,Product,Malaysia,Singapore
1733,Female,Dependent account,1.0,0-10,Chinese,Business,Malaysia,Singapore
1734,Male,Dependent account,56.0,51-60,Chinese,PRODUCT,Malysia,Singapore
1735,Male,,57.0,51-60,Chinese,HR,Singapore,
1736,Male,Main account,,41-50,Chinese,,Singapore,Singapore
1737,Male,Dependentüaccount,0.0,0-10,Chinese,Business,Singapore,Singapore
1738,Male,Main account,48.0,41-50,Chinese,HR,Siégapore,
1739,FEMALE,Dependent account,28.0,21-30,,Product,Malaysia,Singapore 
1740,Male,,66.0,60+,Chinese,Hü,Singapore,Singapore
1741,MALE,Main account,62.0,60+,Chinese,Business,,Siingapore
1742,Male,Main account,55.0,,,Business,CHINA,Singapore 
1743,Female,Dependent accñunt,61.0,60+,Chinese,Product,,
1744,,Dependent Account,25.0,21-30,'alay,HR,Singapore,Singa'ore
1745,Female,Main account,22.0,21-30,,Hr,Singapore,Sing™pore
1746,Male,Dependent account,,60+,Malay,Business,Singapore,China 
1747,,Dependent account,55.0,51-60,,product,Singapore,Singapore
1748,Male,,1.0,0-10 ,,Business,Singapore,singapore
1749,Male,Dependent account,23.0,21-30,Chinese,Product,Singapore,Singapore
1750,Male,Main account,58.0,51-60,"Ch""nese",,, Singapore
1751,Male,Mainaccount,43.0,41-50,Chinese,business,SINGAPORE,
1752,Male,Dependdent account,63.0,60+,Chinese,Business,Singapore ,Singapore
1753,Male,Dependent account,,31-40,,Business,,China
1754,,Main account,,51-60,Chinese,,Singapñre,Singapore
1755,Female,Dependent account,75.0,60+,Chinese,Business,Singapore,Singapore
1756,Male,Main account,26.0,21-30,Chinese,Product,ündia,Singapore
1757,Female,Main account,23.0,21-30,Chinese,Business,Singapore,Singapore
1758,Male,Main account,29.0,21-30,Malay,Business,Chna,Singapore
1759,Female,Min account,,51-60,Malay,Busine–s,Singapore,
1760,Male,Min account,30.0,21-30,Chinese,,Singapore,Singapore
1761,Male,Dependent account,39.0,31-40,Chinese,Product,Sing'pore,Singapore
1762,Femfle,,19.0,11…20,Malay,Business,Singapore,Singapore
1763,Male,Dependent account ,18.0,11-20,Chinese,Busineñs,Singapore,Singapore
1764,Female,Dependent account,59.0,51-60,Chinese,Product,Singapore,
1765,Female,Dependent account,46.0,41-50,Chinese,HR,China,Singapore
1766,fEMALé,Dependent Account,31.0,31-40,,Business,China,Singapore
1767,Male,Main account,29.0,12-30,Chinese,Prodct,Singapore,
1768,Male,Dependent account,33.0,31-40,Chinese,,Singapore,Singapore
1769,Female,,34.0,31-40,Others,Hr,Singapore,Singapore
1770,Male,Dependent account,51.0,51-60,Chinese,Product,Malaysia,Singapore
1771,Female,Main account,23.0,,Malay,Product ,Singaproe,
1772,,Dependent account,26.0,,Indñan,Product,India,China
1773,Male,DEPENDENTACCOUNT,56.0,51-60,Chinese,Business,Singapore,Sing–pore
1774,Female,,40.0,31-40,Malay,Pr'duct,Singapore,Singap…re
1775,Female,Dep–ndent account,55.0,51-60,Chinese,Pro™uct,Singapore,China
1776,Male,,17.0,11-20,Malay,Business,Singapore,Singapore
1777,,Mainaccount,60.0,51-60,cHINESE,Product–,,SINGAPORE
1778,Mal…,Dependent account,60.0,51-60,Chinese,Product,Singapore,Singapore
1779,Male,dEPENDENT ACCOUNT,63.0,60+,,Product,India, Singapore
1780,Female,Dependent account,23.0,21-30,Chinese,Businss,Singapore,Singapore
1781,F…male,Dependent account,72.0, 60+,Chinese,Business,Sivgapore,SINGAPORE
1782,Female,Dependent account,23.0,21-30,Chinese,Product ,,Singapore
1783,Male,"Dep""ndent account",36.0,31-40,Chinese,Business,China,Singapore
1784,Female,Dependent account,15.0,11-20,,HR,Singapore,Singapore
1785,Female,Dependent account,40.0,31-40,Chinese,,Singapore,Singapore
1786,Male,Dependent account,63.0,,chinese,Product,Singapor…,Singapore
1787,mALE,,81.0,60+,Chinese,Product,–ndia,Siñgapore
1788,Male,Main account,32.0,31-40,Chinese,Product,Singapore,Singapore
1789,Female,Main account,27.0,21-30,Indian,Product,Sing…pore,"Singapo""e"
1790,Female,Dependent account,,0-10,Chinese,Business,Singapore,…ingapore
1791,,Dependent account,34.0,31-40,Chinese,,Malaysia,Singapore
1792,Female,Main account,,31-40,Chinese,,,Singapore
1793,Female,Main account,29.0,21-30,Malay,Product,Singapore ,
1794,Ma®e,Dependent account,22.0,21-30,Chinese,Product,Singapore,Singap're
1795,Male,Main account,27.0,21-30,Chinese,Product,Malaysia,Singapore
1796,fEMALE,dEPENDENT ACCOUNT,,31-40,Chinese,Business,Singapore,Singapore
1797,,Dependent account,21.0,21-30,Chinese,Business,China,Singapo…e
1798,Female, Main account,47.0,41-50,Chinese,Prodcut,,Singapore
1799,Male,Dependent account,14.0,r1-2é,Malayy,Product,Singapore,"Si""gapore"
1800,Male,Main account,44.0,41-50,Chinese ,Business,Singapore,Singapore
1801,Female,DEPENDENT ACCOUNT,,11-20,Chinese,Business,singapore,Singapore
1802,Femalñ,,58.0,51-60,Malay,Product,Singapore,Singapore
1803,Female,Dependent account,25.0,—1-30,Others,Business,Singapore,Singapore
1804,Female,Dependent account ,55.0,51-60,Chinese,HR,Singapore,Singapore
1805,Female,Main account,55.0,51-60,In'ian,Business,,Singapore
1806,Male, Main account,24.0,21-30,Others,Business,Singapore,Singapore
1807,Female,Main account,52.0,51ñ60,Chinese,HR,Singap®re,Singapore
1808,Male,Main account,26.0,21-30,Chinese,HR,Singapore,
1809,Female,Main account,21.0,21-30,Malay,,Singapore,Singapore
1810,Male,Dependent account,19.0,,Chinse,,In–ia,Singapore
1811,Female,Main accountt,54.0,51-60,Chinese,Business,Singapore,Singapore
1812,Male,Main account ,24.0,21-30,Others,Business,Singapore,SINGAPORE
1813,…ale,Dependent account,28.0,21-30,Others,Produc™,Singapore,Singapore
1814,Female,Dependent account,80.0,6+,Otheré,Product,Singapore,Singapore
1815,mael,Main account,29.0,2ñ-30,Indian,Product,Singapore,Hong Kong
1816,Female,Main account,47.0,4a-50,Chinese,Product,China,
1817,"Femal""",,48.0,41-50,Chinese,Péoduct,,Singapore
1818,Female,Dependent account,17.0,,Chinese,bUSINESS,Singapore,
1819,Femal™,Dependent account,38.0,31-g0,Chinese,Business,,Singapore
1820,Male,DEPENDENT ACCOUNT,1.0,0-10, Chinese,Business,Singapore ,Singapore
1821,Female,Dependent account,57.0,51-60,Chinese,Business,,siñgapore
1822,Female,,42.0,41-é0,Chinese,Business,Singapore ,Singapore
1823,Female,Mñin account,22.0,21-30,Chinese,Business, Singapore,Singapore
1824,Female,Main account,49.0,41-®0,Chinese,,Singapore,China
1825,,Main account,60.0,51-60,Chinese,Business,Singapére,Singapore
1826,Male,Main account,52.0,51-60,Chinese,Business,malaysia,Singapore
1827, Female,Dependent account,78.0,60+,Indian,PRODUCT,Singapore,Singapore
1828,,Dependent account,29.0,21-30,cHINESE,Product,,Singapore 
1829,Male,Main cacount,54.0,"51""60",Chinese,bUSINESS,Singapore,Singapor®
1830,Male,Main account,54.0,51-60,Chinese,Product,singapore,Singapore
1831,Female,Main account,37.0,31-40,Chinese,HR,Singapore,
1832,Female,Main account,34.0,31-40,Chinese,Product, Singapore,ñhina
1833,,Main account,30.0,21-30,Chinese,Product,Singapore ,Singapore
1834,Female,Dependent account,36.0,31-40,Chinese,Product,Singapore,
1835,Male,Main account,26.0,21-30,ühinese,Business,Singapore,Singapore
1836,Male,Main account,54.0,51-60,Malay,HR,,Singapore
1837,Female, Main account,43.0,41-50,Chinese,HR,Singapore,Singapore
1838,Female,Main account,57.0,51-60 ,Chinese,Businness,Singapore,Singapore
1839,"M""le",Dependent account,,21-30,CChinese,,Singapore,Singapore
1840,Female,Dependent account,49.0,41-50, Chinése,Business,India,Singapore
1841,Male,Main ac–ount,38.0,31-40,Malay,HR,,Siégapore
1842,Fem–le,Dependent account,72.0,60+,Chinese,,Singapore,Singapore
1843, Female,Main account,25.0,21-30,C–inese,Product,Singapore,Singapore
1844,Female,Dependent account,22.0,,™hinese,,India,
1845,MALE,Dependent account,9.0,0-10,Chinese,Business,Singapore,Singapore
1846, Female,Dependent Account,,0-10,Chine—e,HR,China,Singapore
1847,Male,Dependent account,20.0,11-20,Chinese,Business,,Singapore
